id;reason;days;job_key;audit_user_id
1;recontextualize Sleek Rubber Mouse;30537;54115;92958
2;teal Licensed Concrete Keyboard bi-directional;4258;98658;96342
3;experiences synergies Ergonomic Frozen Bike;1725;78940;25724
4;overriding Rupiah array;95612;1895;52948
5;Key;58808;63126;69427
6;Alabama Savings Account Intelligent;53530;863;46643
7;Agent;65765;91471;15963
8;Personal Loan Account payment;61956;63123;82554
9;morph Berkshire;46352;78468;69244
10;Personal Loan Account Rwanda Franc Turkish Lira;67684;10036;20878
